cleaned_text,label
jurong point crazi avail bugi great world buffet cine got amor wat,ham
lar joke wif oni,ham
free entri wkli comp win cup final tkt may text receiv entri questionstd txt ratetc appli over,spam
dun say earli hor alreadi say,ham
nah dont think goe usf live around though,ham
freemsg hey darl week word back like fun still xxx std chg send rcv,spam
even brother like speak treat like aid patent,ham
per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,ham
winner valu network custom select receivea prize reward claim call claim code valid hour,spam
mobil month entitl updat latest colour mobil camera free call mobil updat free,spam
gon home soon dont want talk stuff anymor tonight ive cri enough today,ham
six chanc win cash pound txt csh send cost pday day tsandc appli repli info,spam
urgent week free membership prize jackpot txt word claim wwwdbuknet lccltd pobox ldnwarw,spam
ive search right word thank breather promis wont take help grant fulfil promis wonder bless time,ham
date sunday,ham
xxxmobilemovieclub use credit click wap link next txt messag click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,spam
kim watch,ham
rememb spell name ye naughti make wet,ham
fine that way feel that way gota,ham
england macedonia dont miss goalsteam news txt nation team england trywal scotland txt poboxoxwwq,spam
serious spell name,ham
go tri month joke,ham
pay first lar stock comin,ham
aft finish lunch str lor ard smth lor finish lunch alreadi,ham
ffffffffff alright way meet sooner,ham
forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,ham
lol alway convinc,ham
catch bu fri egg make tea eat mom left dinner feel love,ham
back amp pack car ill let know there room,ham
ahhh work vagu rememb feel like lol,ham
wait that still clear sure sarcast that doesnt want live,ham
yeah got apologet fallen actin like spoilt child got caught till wont badli cheer,ham
tell anyth,ham
fear faint housework quick cuppa,ham
thank subscript rington mobil charg month pleas confirm repli ye repli charg,spam
yup home look time msg xuhui go learn may lesson,ham
oop ill let know roommat done,ham
see letter car,ham
anyth lor decid,ham
hello how saturday text see youd decid anyth tomo tri invit anyth,ham
pl ahead watt want sure great weekend abiola,ham
forget tell want need crave love sweet arabian steed mmmmmm yummi,ham
rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow,spam
see,ham
great hope like man well endow ltgt inch,ham
callsmessagesmiss call,ham
didnt get hep immunis nigeria,ham
fair enough anyth go,ham
yeah hope tyler cant could mayb ask around bit,ham
dont know stubborn didnt even want hospit kept tell mark weak sucker hospit weak sucker,ham
think first time saw class,ham
gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt,ham
fyi ride earli tomorrow morn he crash place tonight,ham
wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri didnt dont give sorri offer sorri room embarass,ham
sm sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,spam
know mallika sherawat yesterday find lturlgt,ham
congrat year special cinema pass call suprman matrix starwar etc free bxipw dont miss,spam
sorri ill call later meet,ham
tell reach,ham
yesgauti sehwag odi seri,ham
gon pick burger way home cant even move pain kill,ham
good joke girl situat seeker,ham
part check,ham
sorri roommat took forev come,ham
lar doubl check wif hair dresser alreadi said wun cut short said cut look nice,ham
valu custom pleas advis follow recent review mob award bonu prize call,spam
today song dedic day song dedic send valuabl frnd first rpli,ham
urgent award complimentari trip eurodisinc trav acoentri claim txt di morefrmmob shracomorsglsuplt,spam
hear new divorc barbi come ken stuff,spam
plane give month end,ham
wah lucki man save money hee,ham
finish class,ham
babe home wan someth,ham
